split;category;search by;search for
components;direct - non-exhaust;name;treatment of road wear
components;direct - non-exhaust;name;treatment of brake wear
components;direct - non-exhaust;name;treatment of tyre wear
components;direct - non-exhaust;name;ethane, 1,1,1,2
components;energy chain;name;fuel supply
components;energy chain;name;electricity supply
components;maintenance;name;maintenance, lorry
components;glider;name;market for glider
components;glider;name;glider lightweighting
components;glider;name;other components
components;glider;name;frame, blanks and saddle, for lorry
components;glider;name;suspension, for lorry
components;glider;name;cabin, for lorry
components;glider;name;tires and wheels, for lorry
components;powertrain;name;market for charger, electric passenger car
components;powertrain;name;market for inverter, for electric passenger car
components;powertrain;name;market for converter, for electric passenger car
components;powertrain;name;electric motor
components;powertrain;name;power distribution unit
components;powertrain;name;gearbox
components;powertrain;name;power electronics
components;powertrain;name;retarder, for lorry
components;powertrain;name;transmission, for lorry
components;powertrain;name;exhaust system, for lorry
components;powertrain;name;internal combustion engine, for lorry
components;energy storage;name;ancillary bop
components;energy storage;name;essential bop
components;energy storage;name;stack
components;energy storage;name;battery bop
components;energy storage;name;battery cell
components;energy storage;name;polyethylene production, high density
components;energy storage;name;fuel tank, compressed hydrogen gas, 700bar
components;energy storage;name;electricity market for energy storage production
components;energy storage;name;lead acid
components;energy storage;name;fuel tank, for diesel vehicle
components;road;name;market for road
components;road;name;road maintenance
components;road;name;ev charger
components;EoL;name;treatment of used lorry
components;EoL;name;market for used li-ion battery
